drug_name,drug_concept_id,N
lenalidomide,19026972,309606
cyclophosphamide,1310317,95995
dexamethasone,1518254,90950
doxorubicin,1338512,79922
pomalidomide,43014237,78019
rituximab,1314273,73486
ibrutinib,44507848,73374
carboplatin,1344905,71866
nivolumab,45892628,69634
bevacizumab,1397141,65866
docetaxel,1315942,65811
paclitaxel,1378382,65687
vincristine,1308290,63991
fluorouracil,955632,55493
palbociclib,45892075,54031
pembrolizumab,45775965,53953
capecitabine,1337620,50042
venetoclax,35604205,49685
oxaliplatin,1318011,49016
trastuzumab,1387104,48758
etoposide,1350504,45896
leuprolide,1351541,44132
cisplatin,1397599,43719
ruxolitinib,40244464,43447
enzalutamide,42900250,42692
prednisone,1551099,39388
cytarabine,1311078,37770
bortezomib,1336825,37303
methotrexate,1305058,36965
gemcitabine,1314924,36617
imatinib,1304107,32051
cabozantinib,43012292,31634
leucovorin,1388796,29829
ipilimumab,40238188,29295
irinotecan,1367268,26890
lenvatinib,46221433,25891
atezolizumab,42629079,25793
everolimus,19011440,24531
erlotinib,1325363,24258
letrozole,1315946,22177
sunitinib,1336539,21696
dasatinib,1358436,20300
niraparib,1593861,19550
abiraterone,40239056,19400
prednisolone,1550557,19330
azacitidine,1314865,18592
bendamustine,19015523,18366
daratumumab,35605744,18079
pazopanib,40167554,18047
denosumab,40222444,17916
pemetrexed,1304919,17850
nilotinib,1394023,17742
ixazomib,35606214,17523
ribociclib,1592911,17121
osimertinib,35605522,16816
ifosfamide,19078187,16316
pertuzumab,42801287,16236
sorafenib,1363387,15879
carfilzomib,42873638,15741
trametinib,43532497,14778
durvalumab,1594034,14703
zoledronic acid,1524674,14528
temozolomide,1341149,14460
epirubicin,1344354,14125
regorafenib,42903460,14123
thalidomide,19137042,13781
olaparib,45892579,13560
cetuximab,1315411,13501
dabrafenib,43532299,13498
fulvestrant,1304044,12645
fludarabine,1395557,11766
melphalan,1301267,11049
obinutuzumab,44507676,10858
axitinib,42709322,10688
exemestane,1398399,9328
ponatinib,43013182,9106
daunorubicin,1311799,9095
pegaspargase,1326481,8760
anastrozole,1348265,8741
rucaparib,1718850,8717
tipiracil,35602757,8418
crizotinib,40242675,8259
tamoxifen,1436678,7870
abemaciclib,792649,7665
mercaptopurine,1436650,7469
vemurafenib,40241937,7416
brentuximab vedotin,40241969,7381
idelalisib,45776944,6654
pegfilgrastim,1325608,6622
asparaginase,19012585,6540
vismodegib,42709321,6375
vinorelbine,1343346,6298
lapatinib,1359548,6261
