indication,indication_concept_id
OSTEOPOROSIS,36416551
PRODUCT USED FOR UNKNOWN INDICATION,42890454
PULMONARY HYPERTENSION,37219868
CONNECTIVE TISSUE DISORDER,36516772
SYSTEMIC SCLEROSIS,35707847
SLEEP APNOEA SYNDROME,36718566
PULMONARY ARTERIAL HYPERTENSION,37219867
CARDIAC FAILURE CONGESTIVE,35205243
ATRIAL FIBRILLATION,35204953
CRYOPYRIN ASSOCIATED PERIODIC SYNDROME,35305927
FAMILIAL COLD AUTOINFLAMMATORY SYNDROME,35305928
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,37219804
ANGINA PECTORIS,35205181
COR PULMONALE CHRONIC,35205265
SYSTEMIC LUPUS ERYTHEMATOSUS,36009823
ARTHRITIS,36516779
DEPRESSION,36918942
ANXIETY,36918858
OSTEOPOROSIS PROPHYLAXIS,37522071
PROPHYLAXIS,37522077
CHRONIC LYMPHOCYTIC LEUKAEMIA,35104364
LISTERIOSIS,36110162
IMMUNOSUPPRESSION,36009952
METASTASES TO BREAST,36617218
BREAST CANCER,36617162
NON-SMALL CELL LUNG CANCER METASTATIC,36617837
PAIN,35809243
BLOOD URIC ACID INCREASED,36314250
FLUID REPLACEMENT,37522003
OEDEMA,35809225
INSOMNIA,36718555
DIABETES MELLITUS,35506609
HYPERTENSION,37622529
SCLERODERMA,36009839
CEREBROVASCULAR ACCIDENT PROPHYLAXIS,37522047
BLOOD CHOLESTEROL INCREASED,36313985
TYPE 2 DIABETES MELLITUS,35506622
EMPHYSEMA,37219829
LIVER DISORDER,35909501
TONSILLITIS,36110709
LEUKAEMIA,35104323
PORTOPULMONARY HYPERTENSION,35909569
HEPATITIS C,35909578
DECREASED APPETITE,36416514
CONTRACEPTION,37521562
MENORRHAGIA,37119548
BACK PAIN,36516951
MIGRAINE,36718141
HEART TRANSPLANT,37520741
IMMUNOSUPPRESSANT DRUG THERAPY,37522187
PROSTATE CANCER METASTATIC,36617703
BASAL CELL CARCINOMA,36617934
HYPOTHYROIDISM,35506797
THROMBOSIS PROPHYLAXIS,37522096
THROMBOSIS,37622460
URINARY RETENTION,37019410
BIPOLAR DISORDER,36919033
INTENTIONAL SELF-INJURY,36919231
DEMENTIA,36718163
HEART DISEASE CONGENITAL,35205001
EPILEPSY,36718530
GASTROOESOPHAGEAL CANCER,35708387
TUMOUR PAIN,36617338
PULMONARY FIBROSIS,37219844
CORONARY ARTERY DISEASE,35205164
VENOUS OCCLUSION,37622418
HYPOXIA,37219905
OBESITY,36416534
PICKWICKIAN SYNDROME,35104697
IDIOPATHIC PULMONARY FIBROSIS,37219830
BLOOD PRESSURE,36312063
BLOOD CHOLESTEROL,36313982
NEPHROPATHY,37019299
HAEMODIALYSIS,37521163
ARTERIOVENOUS FISTULA,37622512
RAYNAUD'S PHENOMENON,37622435
ARRHYTHMIA,35204924
ADENOMA BENIGN,36617249
HUMAN HERPESVIRUS 6 INFECTION,36110922
LUNG DISORDER,37219942
AGITATION,36718347
RHEUMATOID ARTHRITIS,36009833
DRUG ABUSE,36919127
PULMONARY VASCULAR DISORDER,37219880
DRUG INTOLERANCE,35809329
ARTHRALGIA,36516812
FIBROMYALGIA,36516836
ULNAR NERVE PALSY,36718487
TYPE 1 DIABETES MELLITUS,35506621
PULMONARY EMBOLISM,37219871
MYELOFIBROSIS,35104252
STEM CELL TRANSPLANT,37521169
NON-SMALL CELL LUNG CANCER,36617836
HEREDITARY ANGIOEDEMA,35305505
UNEVALUABLE EVENT,35809170
SCHIZOPHRENIA,36919158
PLASMA CELL MYELOMA,43053715
CREST SYNDROME,35707839
NEOPLASM,36617308
PROSTATE CANCER,36617702
TRISOMY 21,35205156
CROHN'S DISEASE,35708063
NAUSEA,35708202
GASTROOESOPHAGEAL REFLUX DISEASE,35708106
SERONEGATIVE ARTHRITIS,36516788
RELAPSING-REMITTING MULTIPLE SCLEROSIS,36718116
MUSCLE SPASMS,36516848
MULTIPLE SCLEROSIS,36718111
