indication,indication_concept_id,indication_clean,cancer_flag
OSTEOPOROSIS,36416551,OSTEOPOROSIS,FALSE
PRODUCT USED FOR UNKNOWN INDICATION,42890454,PRODUCT USED FOR UNKNOWN INDICATION,FALSE
PULMONARY HYPERTENSION,37219868,PULMONARY HYPERTENSION,FALSE
CONNECTIVE TISSUE DISORDER,36516772,CONNECTIVE TISSUE DISORDER,FALSE
SYSTEMIC SCLEROSIS,35707847,SYSTEMIC SCLEROSIS,FALSE
SLEEP APNOEA SYNDROME,36718566,SLEEP APNOEA SYNDROME,FALSE
PULMONARY ARTERIAL HYPERTENSION,37219867,PULMONARY ARTERIAL HYPERTENSION,FALSE
CARDIAC FAILURE CONGESTIVE,35205243,CARDIAC FAILURE CONGESTIVE,FALSE
ATRIAL FIBRILLATION,35204953,ATRIAL FIBRILLATION,FALSE
CRYOPYRIN ASSOCIATED PERIODIC SYNDROME,35305927,CRYOPYRIN ASSOCIATED PERIODIC SYNDROME,FALSE
FAMILIAL COLD AUTOINFLAMMATORY SYNDROME,35305928,FAMILIAL COLD AUTOINFLAMMATORY SYNDROME,FALSE
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,37219804,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,FALSE
ANGINA PECTORIS,35205181,ANGINA PECTORIS,FALSE
COR PULMONALE CHRONIC,35205265,COR PULMONALE CHRONIC,FALSE
SYSTEMIC LUPUS ERYTHEMATOSUS,36009823,SYSTEMIC LUPUS ERYTHEMATOSUS,FALSE
ARTHRITIS,36516779,ARTHRITIS,FALSE
DEPRESSION,36918942,DEPRESSION,FALSE
ANXIETY,36918858,ANXIETY,FALSE
OSTEOPOROSIS PROPHYLAXIS,37522071,OSTEOPOROSIS PROPHYLAXIS,FALSE
PROPHYLAXIS,37522077,PROPHYLAXIS,FALSE
CHRONIC LYMPHOCYTIC LEUKAEMIA,35104364,CHRONIC LYMPHOCYTIC LEUKAEMIA,TRUE
LISTERIOSIS,36110162,LISTERIOSIS,FALSE
IMMUNOSUPPRESSION,36009952,IMMUNOSUPPRESSION,FALSE
METASTASES TO BREAST,36617218,METASTASES TO BREAST,TRUE
BREAST CANCER,36617162,BREAST CANCER,TRUE
NON-SMALL CELL LUNG CANCER METASTATIC,36617837,NON-SMALL CELL LUNG CANCER METASTATIC,TRUE
PAIN,35809243,PAIN,FALSE
BLOOD URIC ACID INCREASED,36314250,BLOOD URIC ACID INCREASED,FALSE
FLUID REPLACEMENT,37522003,FLUID REPLACEMENT,FALSE
OEDEMA,35809225,OEDEMA,FALSE
INSOMNIA,36718555,INSOMNIA,FALSE
DIABETES MELLITUS,35506609,DIABETES MELLITUS,FALSE
HYPERTENSION,37622529,HYPERTENSION,FALSE
SCLERODERMA,36009839,SCLERODERMA,FALSE
CEREBROVASCULAR ACCIDENT PROPHYLAXIS,37522047,CEREBROVASCULAR ACCIDENT PROPHYLAXIS,FALSE
BLOOD CHOLESTEROL INCREASED,36313985,BLOOD CHOLESTEROL INCREASED,FALSE
TYPE 2 DIABETES MELLITUS,35506622,TYPE 2 DIABETES MELLITUS,FALSE
EMPHYSEMA,37219829,EMPHYSEMA,FALSE
LIVER DISORDER,35909501,LIVER DISORDER,FALSE
TONSILLITIS,36110709,TONSILLITIS,FALSE
LEUKAEMIA,35104323,LEUKAEMIA,TRUE
PORTOPULMONARY HYPERTENSION,35909569,PORTOPULMONARY HYPERTENSION,FALSE
HEPATITIS C,35909578,HEPATITIS C,FALSE
DECREASED APPETITE,36416514,DECREASED APPETITE,FALSE
CONTRACEPTION,37521562,CONTRACEPTION,FALSE
MENORRHAGIA,37119548,MENORRHAGIA,FALSE
BACK PAIN,36516951,BACK PAIN,FALSE
MIGRAINE,36718141,MIGRAINE,FALSE
HEART TRANSPLANT,37520741,HEART TRANSPLANT,FALSE
IMMUNOSUPPRESSANT DRUG THERAPY,37522187,IMMUNOSUPPRESSANT DRUG THERAPY,FALSE
PROSTATE CANCER METASTATIC,36617703,PROSTATE CANCER METASTATIC,TRUE
BASAL CELL CARCINOMA,36617934,BASAL CELL CARCINOMA,TRUE
HYPOTHYROIDISM,35506797,HYPOTHYROIDISM,FALSE
THROMBOSIS PROPHYLAXIS,37522096,THROMBOSIS PROPHYLAXIS,FALSE
THROMBOSIS,37622460,THROMBOSIS,FALSE
URINARY RETENTION,37019410,URINARY RETENTION,FALSE
BIPOLAR DISORDER,36919033,BIPOLAR DISORDER,FALSE
INTENTIONAL SELF-INJURY,36919231,INTENTIONAL SELF-INJURY,FALSE
DEMENTIA,36718163,DEMENTIA,FALSE
HEART DISEASE CONGENITAL,35205001,HEART DISEASE CONGENITAL,FALSE
EPILEPSY,36718530,EPILEPSY,FALSE
GASTROOESOPHAGEAL CANCER,35708387,GASTROOESOPHAGEAL CANCER,TRUE
TUMOUR PAIN,36617338,TUMOUR PAIN,TRUE
PULMONARY FIBROSIS,37219844,PULMONARY FIBROSIS,FALSE
CORONARY ARTERY DISEASE,35205164,CORONARY ARTERY DISEASE,FALSE
VENOUS OCCLUSION,37622418,VENOUS OCCLUSION,FALSE
HYPOXIA,37219905,HYPOXIA,FALSE
OBESITY,36416534,OBESITY,FALSE
PICKWICKIAN SYNDROME,35104697,PICKWICKIAN SYNDROME,FALSE
IDIOPATHIC PULMONARY FIBROSIS,37219830,IDIOPATHIC PULMONARY FIBROSIS,FALSE
BLOOD PRESSURE,36312063,BLOOD PRESSURE,FALSE
BLOOD CHOLESTEROL,36313982,BLOOD CHOLESTEROL,FALSE
NEPHROPATHY,37019299,NEPHROPATHY,FALSE
HAEMODIALYSIS,37521163,HAEMODIALYSIS,FALSE
ARTERIOVENOUS FISTULA,37622512,ARTERIOVENOUS FISTULA,FALSE
RAYNAUD'S PHENOMENON,37622435,RAYNAUD'S PHENOMENON,FALSE
ARRHYTHMIA,35204924,ARRHYTHMIA,FALSE
ADENOMA BENIGN,36617249,ADENOMA BENIGN,TRUE
HUMAN HERPESVIRUS 6 INFECTION,36110922,HUMAN HERPESVIRUS 6 INFECTION,FALSE
LUNG DISORDER,37219942,LUNG DISORDER,FALSE
AGITATION,36718347,AGITATION,FALSE
RHEUMATOID ARTHRITIS,36009833,RHEUMATOID ARTHRITIS,FALSE
DRUG ABUSE,36919127,DRUG ABUSE,FALSE
PULMONARY VASCULAR DISORDER,37219880,PULMONARY VASCULAR DISORDER,FALSE
DRUG INTOLERANCE,35809329,DRUG INTOLERANCE,FALSE
ARTHRALGIA,36516812,ARTHRALGIA,FALSE
FIBROMYALGIA,36516836,FIBROMYALGIA,FALSE
