"drug_concept_id","drug_name"
1512480,"ibandronate"
1177480,"ibuprofen"
734354,"pregabalin"
1738521,"doxycycline"
1103314,"tramadol"
1124957,"oxycodone"
1130585,"pentazocine"
1201620,"codeine"
1780601,"iodine"
1112807,"aspirin"
1125315,"acetaminophen"
1545958,"atorvastatin"
1308216,"lisinopril"
1367500,"losartan"
1307046,"metoprolol"
1708880,"minocycline"
1705674,"trimethoprim"
1337068,"ambrisentan"
1327256,"treprostinil"
19025274,"oxygen"
781039,"alprazolam"
1336926,"tadalafil"
1106776,"tiotropium"
904453,"esomeprazole"
904542,"triamterene"
1539403,"simvastatin"
1321636,"bosentan"
40161669,"canakinumab"
1551099,"prednisone"
1189697,"eletriptan"
744740,"zolpidem"
1337107,"ranolazine"
40236987,"belimumab"
1777087,"hydroxychloroquine"
19014878,"azathioprine"
755695,"fluoxetine"
798874,"clonazepam"
19035704,"calcium carbonate"
19009405,"vitamin D"
923645,"omeprazole"
1353228,"vitamin B6"
715259,"duloxetine"
1140643,"sumatriptan"
1305058,"methotrexate"
40167582,"ofatumumab"
929887,"lansoprazole"
1703653,"itraconazole"
1167322,"allopurinol"
1550557,"prednisolone"
1188114,"dexchlorpheniramine"
40228152,"dabigatran etexilate"
1777806,"ceftriaxone"
1707164,"metronidazole"
1518254,"dexamethasone"
1378382,"paclitaxel"
1315942,"docetaxel"
1338512,"doxorubicin"
1310317,"cyclophosphamide"
43533090,"afatinib"
19049105,"potassium chloride"
721724,"nortriptyline"
956874,"furosemide"
961047,"ranitidine"
1502905,"insulin glargine"
1314577,"nebivolol"
1347384,"irbesartan"
1589505,"levonorgestrel"
740275,"carbamazepine"
1510813,"rosuvastatin"
1503297,"metformin"
1580747,"sitagliptin"
1750500,"clarithromycin"
1185922,"ketoprofen"
1506270,"methylprednisolone"
19003999,"mycophenolate mofetil"
19010482,"cyclosporine"
1711759,"dapsone"
1394023,"nilotinib"
797617,"citalopram"
19113013,"fluindione"
1110410,"morphine"
1332418,"amlodipine"
998415,"clobetasol"
1139699,"butalbital"
725131,"mirtazapine"
905233,"mometasone"
1344381,"bicalutamide"
950637,"tacrolimus"
1363053,"doxazosin"
978555,"indapamide"
1341927,"enalapril"
1353766,"propranolol"
19137312,"thiamine"
19010970,"vitamin B complex"
1351541,"leuprolide"
996416,"finasteride"
42709321,"vismodegib"
1501700,"levothyroxine"
1331270,"dipyridamole"
1334456,"ramipril"
1310149,"warfarin"
924566,"tamsulosin"
745466,"valproate"
715997,"donepezil"
955632,"fluorouracil"
19056874,"dexketoprofen"
1388796,"leucovorin"
1318011,"oxaliplatin"
1154029,"fentanyl"
1316262,"sildenafil"
1713332,"amoxicillin"
1163944,"guaifenesin"
1346823,"carvedilol"
19072255,"cefmetazole"
1340128,"captopril"
1338005,"bisoprolol"
19040606,"carbimazole"
1703687,"acyclovir"
1759842,"clavulanate"
1301025,"enoxaparin"
1112921,"ipratropium"
1557272,"alendronate"
1136601,"benzonatate"
1551860,"pravastatin"
1314002,"atenolol"
19095164,"cholecalciferol"
797399,"gabapentin"
1139042,"acetylcysteine"
1354118,"epoprostenol"
1344992,"iloprost"
1526475,"ezetimibe"
1734104,"azithromycin"
1768849,"cefaclor"
1702364,"ticarcillin"
1778162,"cefuroxime"
45892419,"gentamicin"
1709170,"meropenem"
1751310,"primaquine"
1715117,"aztreonam"
791967,"lorazepam"
780442,"varenicline"
1318853,"nifedipine"
1548195,"estradiol"
1308842,"valsartan"
40244464,"ruxolitinib"
1333357,"busulfan"
1395557,"fludarabine"
1521987,"teriparatide"
1397599,"cisplatin"
1343346,"vinorelbine"
45892906,"C1 esterase inhibitor"
40242044,"icatibant"
778711,"cyclobenzaprine"
705103,"lamotrigine"
19017241,"iloperidone"
719174,"benztropine"
733301,"buspirone"
19026972,"lenalidomide"
1119119,"adalimumab"
1559684,"glyburide"
1524674,"zoledronic acid"
1000560,"ondansetron"
750982,"bupropion"
1304643,"darbepoetin alfa"
19124477,"lithium"
40226579,"fingolimod"
715233,"baclofen"
722424,"interferon beta-1a"
1707687,"vancomycin"
1107830,"loratadine"
40230761,"lurasidone"
1522957,"octreotide"
1597756,"glimepiride"
1367571,"heparin"
42709324,"vitamin D3"
1186087,"abatacept"
918906,"oxybutynin"
711584,"levetiracetam"
1309944,"amiodarone"
19018544,"calcium"
19020002,"vigabatrin"
1786055,"deferasirox"
766814,"quetiapine"
1513103,"raloxifene"
1537655,"salmon calcitonin"
1325608,"pegfilgrastim"
991382,"amiloride"
739138,"sertraline"
752061,"prochlorperazine"
1174888,"hydrocodone"
757688,"aripiprazole"
19050832,"clobazam"
42900584,"teriflunomide"
974166,"HCTZ"
742267,"topiramate"
1304107,"imatinib"
1377141,"hydroxyurea"
1149380,"fluticasone"
1103640,"methadone"
1036228,"sucralfate"
1124300,"diclofenac"
735979,"risperidone"
19131663,"perazine"
1519936,"etonogestrel"
713196,"interferon beta-1b"
751889,"glatiramer"
1309799,"eplerenone"
782043,"isoflurane"
836208,"succinylcholine"
948078,"pantoprazole"
1360067,"iron"
1301125,"epoetin alfa"
1322184,"clopidogrel"
19111620,"folic acid"
1551803,"fenofibrate"
19137042,"thalidomide"
800878,"clozapine"
1336539,"sunitinib"
19029306,"acetate"
975125,"hydrocortisone"
1154161,"montelukast"
968426,"mesalamine"
1350310,"cilostazol"
1373928,"hydralazine"
1398937,"clonidine"
740910,"phenytoin"
991876,"loperamide"
703244,"paliperidone"
42904205,"tofacitinib"
1501309,"thyroid (USP)"
19009540,"vitamin E"
19038440,"basiliximab"
1786617,"daptomycin"
19057607,"amisulpride"
1115572,"beclomethasone"
1370109,"sotalol"
1153428,"fexofenadine"
1101554,"colchicine"
1550023,"insulin lispro"
1351115,"ubidecarenone"
19124906,"magnesium"
40170680,"dalfampridine"
715710,"rasagiline"
19090984,"armodafinil"
19011440,"everolimus"
719311,"dextroamphetamine"
724816,"oxazepam"
786426,"rotigotine"
703547,"trazodone"
42709323,"ivacaftor"
1154343,"albuterol"
798834,"clomipramine"
715939,"escitalopram"
19039298,"sevoflurane"
19015523,"bendamustine"
1000632,"clotrimazole"
1328165,"diltiazem"
1196677,"formoterol"
939259,"budesonide"
902722,"tobramycin"
919204,"amylase"
960988,"diflorasone"
1797513,"ciprofloxacin"
1115008,"naproxen"
1118084,"celecoxib"
1149196,"cetirizine"
42899255,"gadolinium"
43012292,"cabozantinib"
19078187,"ifosfamide"
1354698,"mesna"
1314273,"rituximab"
1350504,"etoposide"
1129625,"diphenhydramine"
743670,"venlafaxine"
19123864,"canrenoate"
19101849,"urapidil"
