"outcome_concept_id","pt"
36516812,"Arthralgia"
35708093,"Diarrhoea"
36718132,"Headache"
35708208,"Vomiting"
35708139,"Dyspepsia"
37019321,"Renal impairment"
35809327,"Drug ineffective"
36009738,"Drug hypersensitivity"
37219907,"Cough"
35708609,"Throat irritation"
37219959,"Rhinorrhoea"
35809079,"Malaise"
35809170,"Unevaluable event"
36313585,"Hepatic enzyme increased"
36516951,"Back pain"
36416610,"Fluid retention"
35205236,"Oedema peripheral"
36110597,"Pneumonia"
35104306,"Jaundice"
35809166,"Swelling"
35809059,"Death"
35205040,"Dyspnoea exertional"
35809076,"Fatigue"
35809225,"Oedema"
36009762,"Angioedema"
35809220,"Face oedema"
36009764,"Laryngeal oedema"
36110784,"Tuberculosis of central nervous system"
35909435,"Biliary tract disorder"
37521342,"Cholecystectomy"
37019456,"Nephrolithiasis"
37622449,"Hypotension"
36110850,"Adenoviral haemorrhagic cystitis"
35809054,"Pyrexia"
36718265,"Tremor"
36211297,"Fall"
35708176,"Hiccups"
36516959,"Pain in extremity"
35607130,"Ocular hyperaemia"
36110502,"Amniotic cavity infection"
42889640,"Maternal exposure during pregnancy"
36818782,"Meconium stain"
36110162,"Listeriosis"
36110491,"Meningitis"
36919118,"Mental status changes"
36110224,"Pneumonia staphylococcal"
36416501,"Respiratory failure"
35809072,"Asthenia"
36516837,"Myalgia"
36211177,"Nail toxicity"
36718500,"Neuropathy peripheral"
36718404,"Palmar-plantar erythrodysaesthesia syndrome"
36211187,"Skin toxicity"
36009728,"Type IV hypersensitivity reaction"
35708154,"Abdominal pain"
36315575,"Blood creatinine increased"
36315486,"C-reactive protein increased"
37019396,"Dysuria"
37219863,"Pleural effusion"
36315380,"Weight decreased"
35809083,"Feeling abnormal"
36211159,"Chemical poisoning"
36516958,"Neck pain"
36718379,"Paraesthesia"
35707576,"Anorectal discomfort"
35707572,"Proctalgia"
35707861,"Rectal haemorrhage"
35708690,"Dry mouth"
35809304,"Product quality issue"
35205235,"Localised oedema"
37220008,"Nasal congestion"
36918858,"Anxiety"
36919045,"Emotional disorder"
36919046,"Emotional distress"
35104746,"Lymphadenopathy"
35909682,"Metastases to liver"
36617224,"Metastases to lung"
35708466,"Metastases to retroperitoneum"
36517082,"Metastases to spine"
36617241,"Metastases to thorax"
35708539,"Pancreatic carcinoma metastatic"
45885760,"Peripheral venous disease"
36617702,"Prostate cancer"
36617436,"Renal cyst"
36718422,"Dysphonia"
37320197,"Pruritus"
37320213,"Rash generalised"
35708750,"Swollen tongue"
35104074,"Anaemia"
35205025,"Dizziness"
35205038,"Dyspnoea"
35809131,"General physical health deterioration"
36211496,"Overdose"
35909501,"Liver disorder"
36313594,"Liver function test abnormal"
37622517,"Haematoma"
36313050,"International normalised ratio increased"
35104691,"Thrombocytopenia"
37219905,"Hypoxia"
36211555,"Device dislocation"
37220014,"Epistaxis"
35205029,"Haemoptysis"
37220017,"Nasal dryness"
36312077,"Blood pressure increased"
36718005,"Cerebrovascular accident"
35809243,"Pain"
35707684,"Gingivitis"
36919059,"Aggression"
36919042,"Anger"
35607262,"Blepharospasm"
36919235,"Suicidal ideation"
36919082,"Violence-related symptom"
36313240,"Haemoglobin decreased"
36311982,"Heart rate decreased"
36717998,"Cerebral haemorrhage"
42890355,"Posterior reversible encephalopathy syndrome"
36718024,"Subarachnoid haemorrhage"
36919184,"Erection increased"
37622529,"Hypertension"
36416600,"Hyponatraemia"
35707759,"Gastric disorder"
37320212,"Rash"
35205184,"Chest discomfort"
35708141,"Eructation"
37019401,"Pollakiuria"
